GENE,gene_name,gene,Phenotype,ALL_zscore,ALL_effect_size,ALL_P,ALL_var_g,ALL_pred_perf_r2,ALL_pred_perf_pval,ALL_n_snps_used,ALL_n_snps_in_cov,ALL_n_snps_in_model,CAU_zscore,CAU_effect_size,CAU_P,CAU_var_g,CAU_pred_perf_r2,CAU_pred_perf_pval,CAU_n_snps_used,CAU_n_snps_in_cov,CAU_n_snps_in_model,INTERVAL_zscore,INTERVAL_effect_size,INTERVAL_P,INTERVAL_var_g,INTERVAL_pred_perf_r2
SL004876_ENSG00000100665,SL004876,SERPINA4.3449.58.2,ovary,0.741098939557071,0.0192704036727455,0.458633452551256,0.191709026445554,0.234801809238914,2.61859303488097e-61,49,49,49,0.713926874882894,0.0143007569921855,0.475272398061511,0.211654157394795,0.282381091580014,1.03723190924464e-32,64,69,69,0.828904790886641,0.0195738396013033,0.407158284206043,0.153521250122353,0.187173441389301
SL004914_ENSG00000180817,SL004914,NA,ovary,0.508151402162038,0.042983705828689,0.611347169366865,0.0266364466915893,0.0141975103397411,0.000212039738605589,61,63,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL005084_ENSG00000133110,SL005084,NA,ovary,0.302964608455783,0.0030909743473274,0.76191683314316,0.0232274032846381,0.0268020218576016,2.79197832808599e-07,26,26,26,0.443219460362223,0.0204764702433735,0.657607004306409,0.0321338456383778,0.0654670646537983,1.04267210887232e-07,22,23,23,NA,NA,NA,NA,NA
SL005087_ENSG00000163453,SL005087,IGFBP7.3320.49.2,ovary,-0.627883814187953,-0.0302913372280009,0.530080054874333,0.0287464324475067,0.0457468293517363,1.18951663797866e-11,24,25,25,-0.785879210393156,-0.0306640932145622,0.431938255239872,0.0531605506396546,0.127990087084107,5.02730898897493e-14,6,6,6,-0.69117066737773,-0.0380208522853989,0.489458295002317,0.030759255544938,0.0481933963906001
SL005102_ENSG00000129214,SL005102,NA,ovary,0.138387214751002,0.0143965356425479,0.889934400945288,0.0191814770836705,0.025699079861524,5.68126612308213e-07,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL005115_ENSG00000262655,SL005115,SPON1.4297.62.3,ovary,-0.707312606742846,-0.0375497977413532,0.479372232909867,0.0469375214127305,0.0643160854133543,1.0165147701081e-15,54,60,60,-0.695323050658586,-0.0769779016012711,0.486852871787853,0.00657886513918131,0.0481322235293282,7.79587584681428e-06,8,9,9,-0.056833220067318,-0.00296151380129258,0.954678050908421,0.0687726692199809,0.0805295124443369
SL005152_ENSG00000106538,SL005152,NA,ovary,-1.23308124673948,-0.0464234498240814,0.217545453351698,0.0619963809115095,0.0907466185364996,4.96498346043499e-22,33,33,33,-1.0623407217313,-0.0564676230255619,0.288081034061921,0.0344707609297718,0.0805499351124906,3.79928107533452e-09,13,13,13,NA,NA,NA,NA,NA
SL005155_ENSG00000241186,SL005155,TDGF1.5810.25.3,ovary,0.382588707931132,0.00468804292205406,0.702024744160633,0.535086843472792,0.569142169297576,1.09940185705515e-207,56,60,60,0.217898252065439,0.00268442666019984,0.827508389076783,0.597348261320179,0.685339125863767,5.3736796777438e-124,37,37,37,0.295988603143528,0.00350940733280126,0.767238785023789,0.615361362373396,0.654316749117849
SL005157_ENSG00000090659,SL005157,CD209.3029.52.2,ovary,0.83936344830702,0.0345904815992068,0.401265388588214,0.0651550056244747,0.0661813779314084,3.27467784123091e-16,38,38,38,0.418130455479635,0.0157728266085476,0.675851738896251,0.0692199580805349,0.135779101174898,6.2507170996488e-15,30,30,30,0.782309239170644,0.0340232246504204,0.43403285837469,0.0486572967735104,0.0524055830467374
SL005164_ENSG00000100079,SL005164,LGALS2.3033.57.1,ovary,0.126364539789685,0.00791502880572281,0.899443370251226,0.0189492579579948,0.0336742953192599,9.37801179522829e-09,18,20,20,1.07036553774537,0.0378952563030394,0.284454805085778,0.0725102717929102,0.0732996722500606,2.37172933293172e-08,66,66,66,-1.31694002996809,-0.150254056391737,0.187858727151859,0.00938273353848825,0.0249781084092433
